Valor nulo: -9999.9														
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)	Velocidad del viento(m/s)	Direc. de proced. del Viento(0=N,90=E)
2023 01 01 00	0.37	3.7	5.1	187	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	0.97	209
2023 01 01 01	0.36	3.7	5.1	186	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	0.56	285
2023 01 01 02	0.35	3.8	4.7	186	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	0.14	239
2023 01 01 03	0.34	3.8	4.7	185	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.76	65
2023 01 01 04	0.34	3.8	4.7	184	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.57	78
2023 01 01 05	0.34	3.7	4.7	182	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.94	84
2023 01 01 06	0.36	3.5	4.7	179	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.85	96
2023 01 01 07	0.38	3.4	4.7	177	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.65	69
2023 01 01 08	0.4	3.5	4.7	177	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.26	50
2023 01 01 09	0.42	3.6	4.7	177	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.91	20
2023 01 01 10	0.43	3.5	4.7	175	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.91	15
2023 01 01 11	0.44	3.6	4.7	173	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.96	26
2023 01 01 12	0.44	3.5	4.7	170	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.45	63
2023 01 01 13	0.42	3.6	4.7	170	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.33	71
2023 01 01 14	0.4	3.6	4.7	171	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.07	86
2023 01 01 15	0.4	3.2	4.2	166	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.39	87
2023 01 01 16	0.4	2.9	4.2	159	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.26	89
2023 01 01 17	0.38	2.8	4.2	159	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.52	90
2023 01 01 18	0.36	2.7	4.2	157	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.13	88
2023 01 01 19	0.37	2.6	3.9	150	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.36	86
