Valor nulo: -9999.9														
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)	Velocidad del viento(m/s)	Direc. de proced. del Viento(0=N,90=E)
2023 01 01 00	0.35	3.7	5.1	184	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	0.73	201
2023 01 01 01	0.34	3.7	5.1	184	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.06	319
2023 01 01 02	0.33	3.7	4.7	184	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	0.78	349
2023 01 01 03	0.32	3.8	4.7	183	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.63	62
2023 01 01 04	0.32	3.8	4.7	183	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.42	81
2023 01 01 05	0.33	3.6	4.7	181	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.88	83
2023 01 01 06	0.35	3.5	4.7	178	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.62	88
2023 01 01 07	0.37	3.6	4.7	177	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.45	30
2023 01 01 08	0.39	3.7	4.7	177	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.47	25
2023 01 01 09	0.4	3.7	4.7	177	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.06	12
2023 01 01 10	0.41	3.8	4.7	176	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.76	11
2023 01 01 11	0.42	3.8	4.7	174	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.89	17
2023 01 01 12	0.41	3.7	4.7	172	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.29	65
2023 01 01 13	0.4	3.7	4.7	170	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.3	76
2023 01 01 14	0.38	3.6	4.7	169	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.15	91
2023 01 01 15	0.38	3.2	4.2	164	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.33	89
2023 01 01 16	0.38	2.9	4.2	158	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.14	91
2023 01 01 17	0.37	2.9	4.2	158	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.36	88
2023 01 01 18	0.35	2.8	4.2	157	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.09	85
2023 01 01 19	0.35	2.6	3.9	151	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.02	82
2023 01 01 20	0.33	2.7	3.9	152	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.75	86
2023 01 01 21	0.33	2.6	3.9	149	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.34	75
2023 01 01 22	0.32	2.7	3.9	147	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.21	43
2023 01 01 23	0.3	2.9	3.9	152	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.82	33
2023 01 02 00	0.28	3.0	3.9	154	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.88	37
2023 01 02 01	0.27	3.0	3.5	155	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.41	31
2023 01 02 02	0.27	3.1	3.5	154	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.55	18
2023 01 02 03	0.26	3.1	3.5	152	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.61	15
2023 01 02 04	0.25	3.1	3.5	150	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.71	357
2023 01 02 05	0.25	3.1	3.5	148	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.5	350
2023 01 02 06	0.24	3.1	3.5	146	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.35	352
2023 01 02 07	0.23	3.2	3.5	144	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.16	325
2023 01 02 08	0.23	3.2	3.5	142	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.38	343
2023 01 02 09	0.24	3.3	3.5	139	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.3	333
2023 01 02 10	0.25	3.4	4.2	135	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.23	347
2023 01 02 11	0.27	3.5	4.2	131	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.52	294
2023 01 02 12	0.3	3.6	4.2	127	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	0.7	6
2023 01 02 13	0.32	3.8	4.7	123	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.08	198
2023 01 02 14	0.35	3.9	4.7	119	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.19	186
2023 01 02 15	0.37	4.1	5.1	116	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.0	186
2023 01 02 16	0.4	4.2	5.7	114	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.62	205
2023 01 02 17	0.42	4.3	5.7	112	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	0.83	180
2023 01 02 18	0.44	4.4	5.7	112	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	0.93	257
2023 01 02 19	0.45	4.5	5.7	112	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.31	294
2023 01 02 20	0.45	4.5	5.7	112	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.86	27
2023 01 02 21	0.45	4.6	5.7	113	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.61	10
2023 01 02 22	0.45	4.6	5.7	113	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.43	29
2023 01 02 23	0.45	4.6	5.7	114	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.59	30
2023 01 03 00	0.46	4.8	5.7	113	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.27	10
2023 01 03 01	0.48	4.9	5.7	113	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.12	336
2023 01 03 02	0.5	5.0	6.8	112	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.58	334
2023 01 03 03	0.51	5.1	6.8	111	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.25	345
2023 01 03 04	0.52	5.3	6.8	110	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.59	351
2023 01 03 05	0.53	5.4	6.2	110	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.63	356
2023 01 03 06	0.53	5.4	6.2	109	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.24	356
2023 01 03 07	0.53	5.5	6.2	109	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.53	334
2023 01 03 08	0.53	5.5	6.2	109	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.33	316
2023 01 03 09	0.52	5.4	6.2	110	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.0	312
2023 01 03 10	0.52	5.3	6.2	110	-9999.9	-9999.9	0.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.6	326
2023 01 03 11	0.52	5.2	6.2	111	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.88	329
2023 01 03 12	0.52	5.2	6.2	111	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.32	174
2023 01 03 13	0.52	5.2	6.2	111	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	1.46	143
2023 01 03 14	0.5	5.2	6.2	111	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	2.83	133
2023 01 03 15	0.49	5.1	6.2	111	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3.63	129
2023 01 03 16	0.47	5.0	6.2	112	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	4.02	150
