Timestamp,Duration,Average H,Average position x,Average position y,Hs,Tp,Number of waves,Displacement range in x,Displacement range in y,Min displacement x,Max displacement x,Min displacement y,Max displacement y,Tmax_X,Tmax_Y,U (m/s),con,JONSWAP TpX,JONSWAP TpY,JONSWAP Area
20230107110000,47.565999348958336,0.19277218,6.2002325,3.3251433,0.2699628,4.7757512953367875,586,0.7633138,0.63905334,-0.3659129,0.39740086,-0.36716437,0.27188897,5.563595880879488,5.14476901299704,-7.155934529105006,40.96072565411543,5.230753045053027,5.159801989189551,0.4580700866786211
20230102100001,52.65066731770833,0.16743803,4.7997437,3.0700295,0.22548425,4.4283261802575105,707,0.87574005,0.50295854,-0.46246576,0.4132743,-0.2731657,0.22979283,4.162848812994585,4.465043555952646,5.5530296847594975,38.50163743440589,4.0400528752643,4.13552825024315,0.15919782981181022
20230102150001,59.960001627604164,0.17205736,3.951511,3.0678382,0.236664,4.435133079847908,798,0.62130165,0.44970417,-0.33612633,0.28517532,-0.22210264,0.22760153,4.000400240144086,4.074602527517325,5.602455416393519,45.361840252701654,4.099601598612883,4.164706619373814,0.19502627963772032
20230102180000,29.778666178385418,0.16868277,4.7854533,2.9621723,0.23235893,4.374436090225564,406,0.8106508,0.6153846,-0.44225788,0.36839294,-0.3100171,0.30536747,4.016072325464591,4.29661472326706,5.538739586418519,44.452261322648404,4.041508703276274,4.094991697135131,0.18457835023459201
20230103085959,23.225333658854165,0.27571887,6.801635,3.2603424,0.39816257,6.207466666666667,228,0.56213,0.85207105,-0.32826185,0.23386812,-0.5029712,0.34909987,6.674457429048414,7.450614983227729,8.988091135522108,4.7997905140875945,6.636150538664164,7.267693026678258,0.13411602793203728
20230104110000,20.545332845052084,0.12190351,5.787636,3.3128994,0.16408737,5.485194805194806,236,0.45562124,0.3076923,-0.2669258,0.18869543,-0.1486392,0.15905309,5.426167209554831,6.304999211480839,7.603782874426207,3.4951080790905213,5.487409466042671,6.069613939994757,0.04600920146248577
20230104180000,20.128000895182293,0.101216,5.1343,3.3939066,0.15162721,4.9752112676056335,218,1.2662721,1.4023669,-0.43015814,0.8361139,-1.0262117,0.37615514,17.49671772428884,6.092654678451691,7.586252639420572,3.276006397790288,5.72007978963232,5.180893967655437,0.03712121549200487
20230105110000,32.73400065104167,0.07716488,4.271766,3.216678,0.105737075,4.342773722627737,416,0.6686392,0.2958579,-0.3605237,0.30811548,-0.16793752,0.12792039,5.110571392049086,3.3878484874163206,5.23330217574431,6.472638721914409,4.92169317356636,4.491996647726867,0.01331667263638427
20230106120001,30.590665690104167,0.07125182,4.334623,3.1248715,0.0970784,4.691023622047243,385,0.47337294,0.31952643,-0.21036243,0.2630105,-0.17098641,0.14854002,4.053122465531224,4.053122465531224,5.386138796324841,5.682797081134695,5.759481177449559,3.672004668493893,0.01179816153324896
20230107100000,33.600667317708336,0.19118547,6.2508645,3.261244,0.27543557,4.607552447552448,435,0.7633138,0.58579874,-0.37512493,0.38818884,-0.29496884,0.2908299,4.914566687154272,5.127613184558163,6.855450848809889,44.98242960312247,5.004448006988299,4.95173283086054,0.42333847812915254
