Valor nulo: -9999.9															
Fecha (GMT)	Altura Signif. del Oleaje(m)	Altura signif. de cruce por cero(m)	Periodo Medio(s)	Periodo Medio Tm02(s)	Periodo de Pico(s)	Altura Máxima del Oleaje(m)	Periodo de la Ola Maxima(s)	Canal de obtencion de los datos	Direcc. Media de Proced.(0=N,90=E)	Direccion Media en el Pico Espectral(0=N,90=E)	Dispersión angular en toda la banda resuelta(grados)	Dispersión angular en el pico de energía espectral(grados)	Canal de obtencion de los datos	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2023 01 09 05	0.99	0.94	5.1	4.9	6.7	1.53	-9999.9	3	173	-9999.9	27	-9999.9	3	15.3	3
2023 01 09 06	0.93	0.9	5.2	5.1	6.9	1.56	-9999.9	3	176	-9999.9	28	-9999.9	3	15.2	3
2023 01 09 07	0.84	0.81	5.2	5.0	6.1	1.23	-9999.9	3	180	-9999.9	30	-9999.9	3	15.2	3
2023 01 09 08	0.81	0.8	5.0	4.9	7.1	1.29	-9999.9	3	177	-9999.9	27	-9999.9	3	15.2	3
2023 01 09 09	0.82	0.8	4.6	4.5	6.5	1.5	-9999.9	3	179	-9999.9	27	-9999.9	3	15.2	3
2023 01 09 10	0.79	0.75	4.8	4.5	6.5	1.32	-9999.9	3	180	-9999.9	26	-9999.9	3	15.2	3
2023 01 09 11	0.73	0.68	4.1	3.8	7.4	1.29	-9999.9	3	185	-9999.9	31	-9999.9	3	15.2	3
2023 01 09 12	0.67	0.66	4.3	4.0	7.4	1.11	-9999.9	3	188	-9999.9	31	-9999.9	3	15.2	3
2023 01 09 13	0.61	0.57	3.7	3.4	7.4	0.99	-9999.9	3	192	-9999.9	35	-9999.9	3	15.2	3
2023 01 09 14	0.59	0.55	3.9	3.5	7.7	1.01	-9999.9	3	189	-9999.9	32	-9999.9	3	15.2	3
2023 01 09 15	0.53	0.5	4.1	3.5	6.9	0.83	-9999.9	3	189	-9999.9	30	-9999.9	3	15.1	3
2023 01 09 16	0.57	0.54	3.6	3.3	7.1	1.08	-9999.9	3	190	-9999.9	31	-9999.9	3	15.1	3
2023 01 09 17	0.53	0.49	4.0	3.6	6.9	0.89	-9999.9	3	190	-9999.9	26	-9999.9	3	15.1	3
2023 01 09 18	0.5	0.46	3.6	3.0	6.7	0.76	-9999.9	3	190	-9999.9	34	-9999.9	3	15.1	3
2023 01 09 19	0.54	0.51	3.1	3.0	7.4	0.93	-9999.9	3	202	-9999.9	38	-9999.9	3	15.1	3
2023 01 09 20	0.56	0.51	2.9	2.7	25.0	0.8	-9999.9	3	214	-9999.9	35	-9999.9	3	15.0	3
2023 01 09 21	0.52	0.49	3.2	3.1	7.4	0.75	-9999.9	3	196	-9999.9	42	-9999.9	3	15.0	3
2023 01 09 22	0.47	0.44	4.3	4.2	8.0	0.75	-9999.9	3	179	-9999.9	32	-9999.9	3	15.0	3
2023 01 09 23	0.45	0.44	3.9	3.7	6.5	0.76	-9999.9	3	183	-9999.9	32	-9999.9	3	15.0	3
2023 01 10 00	0.52	0.48	4.0	3.5	6.9	0.88	-9999.9	3	183	-9999.9	33	-9999.9	3	15.0	3
2023 01 10 01	0.53	0.49	3.8	3.6	6.9	0.87	-9999.9	3	188	-9999.9	30	-9999.9	3	14.9	3
2023 01 10 02	0.54	0.51	3.8	3.8	6.7	0.89	-9999.9	3	191	-9999.9	29	-9999.9	3	15.0	3
2023 01 10 03	0.54	0.51	4.0	3.9	7.1	0.92	-9999.9	3	189	-9999.9	29	-9999.9	3	14.9	3
2023 01 10 04	0.5	0.46	4.0	3.9	8.0	0.75	-9999.9	3	187	-9999.9	29	-9999.9	3	14.9	3
2023 01 10 05	0.43	0.4	4.8	3.9	8.0	0.69	-9999.9	3	171	-9999.9	37	-9999.9	3	14.9	3
2023 01 10 06	0.44	0.4	3.2	3.0	25.0	0.69	-9999.9	3	174	-9999.9	46	-9999.9	3	15.0	3
2023 01 10 07	0.46	0.41	3.4	2.9	7.7	0.77	-9999.9	3	128	-9999.9	46	-9999.9	3	14.9	3
2023 01 10 08	0.43	0.41	5.3	4.1	6.9	0.68	-9999.9	3	136	-9999.9	45	-9999.9	3	14.9	3
2023 01 10 09	0.45	0.44	5.6	5.3	7.1	0.82	-9999.9	3	141	-9999.9	40	-9999.9	3	14.9	3
2023 01 10 10	0.49	0.46	4.4	3.8	6.7	0.74	-9999.9	3	148	-9999.9	42	-9999.9	3	14.9	3
2023 01 10 11	0.56	0.53	4.0	3.6	5.7	0.88	-9999.9	3	151	-9999.9	44	-9999.9	3	15.1	3
2023 01 10 12	0.53	0.5	4.3	3.7	6.9	0.89	-9999.9	3	132	-9999.9	41	-9999.9	3	15.1	3
2023 01 10 13	0.44	0.41	3.9	3.4	6.5	0.82	-9999.9	3	140	-9999.9	44	-9999.9	3	15.1	3
2023 01 10 14	0.47	0.44	3.9	3.5	7.1	0.84	-9999.9	3	146	-9999.9	45	-9999.9	3	15.2	3
2023 01 10 15	0.56	0.51	3.4	3.0	6.2	0.91	-9999.9	3	157	-9999.9	46	-9999.9	3	15.1	3
2023 01 10 16	0.7	0.66	3.4	3.2	7.1	1.29	-9999.9	3	168	-9999.9	45	-9999.9	3	15.1	3
2023 01 10 17	0.77	0.73	3.5	3.3	7.1	1.1	-9999.9	3	170	-9999.9	42	-9999.9	3	15.1	3
2023 01 10 18	0.76	0.72	3.5	3.4	3.2	1.11	-9999.9	3	175	-9999.9	43	-9999.9	3	15.1	3
2023 01 10 19	0.69	0.66	3.7	3.4	6.7	1.08	-9999.9	3	159	-9999.9	41	-9999.9	3	15.1	3
2023 01 10 20	0.64	0.6	3.7	3.7	6.7	1.09	-9999.9	3	160	-9999.9	42	-9999.9	3	15.1	3
2023 01 10 21	0.6	0.56	4.1	4.1	5.9	0.9	-9999.9	3	147	-9999.9	40	-9999.9	3	15.1	3
2023 01 10 22	0.53	0.5	4.1	4.2	6.5	0.77	-9999.9	3	147	-9999.9	41	-9999.9	3	15.1	3
2023 01 10 23	0.53	0.51	4.3	4.2	6.5	0.86	-9999.9	3	145	-9999.9	38	-9999.9	3	15.1	3
2023 01 11 00	0.52	0.49	4.3	4.2	5.9	0.81	-9999.9	3	150	-9999.9	39	-9999.9	3	15.1	3
2023 01 11 01	0.48	0.45	4.3	4.2	5.9	0.72	-9999.9	3	148	-9999.9	38	-9999.9	3	15.0	3
2023 01 11 02	0.48	0.45	4.3	4.3	5.9	0.84	-9999.9	3	153	-9999.9	39	-9999.9	3	15.0	3
2023 01 11 03	0.46	0.43	4.4	4.3	7.4	0.69	-9999.9	3	154	-9999.9	39	-9999.9	3	15.0	3
2023 01 11 04	0.47	0.45	4.5	4.6	5.4	0.75	-9999.9	3	152	-9999.9	37	-9999.9	3	15.0	3
2023 01 11 05	0.43	0.4	4.1	4.0	7.1	0.63	-9999.9	3	151	-9999.9	38	-9999.9	3	15.0	3
2023 01 11 06	0.4	0.38	3.9	3.8	7.1	0.64	-9999.9	3	158	-9999.9	41	-9999.9	3	15.0	3
2023 01 11 07	0.36	0.34	4.1	3.9	6.5	0.63	-9999.9	3	158	-9999.9	39	-9999.9	3	15.0	3
2023 01 11 08	0.35	0.33	4.0	4.0	7.1	0.5	-9999.9	3	154	-9999.9	40	-9999.9	3	15.0	3
2023 01 11 09	0.32	0.3	4.2	3.8	6.5	0.54	-9999.9	3	154	-9999.9	42	-9999.9	3	15.0	3
2023 01 11 10	0.37	0.34	3.8	3.7	11.1	0.52	-9999.9	3	168	-9999.9	36	-9999.9	3	15.0	3
2023 01 11 11	0.35	0.33	3.8	3.6	10.0	0.52	-9999.9	3	159	-9999.9	42	-9999.9	3	15.1	3
2023 01 11 12	0.34	0.32	3.9	3.5	6.2	0.58	-9999.9	3	165	-9999.9	39	-9999.9	3	15.1	3
2023 01 11 13	0.32	0.3	3.6	3.2	10.0	0.51	-9999.9	3	163	-9999.9	43	-9999.9	3	15.1	3
2023 01 11 14	0.32	0.3	4.1	3.6	10.0	0.5	-9999.9	3	150	-9999.9	38	-9999.9	3	15.1	3
2023 01 11 15	0.29	0.27	4.1	3.8	10.0	0.46	-9999.9	3	145	-9999.9	41	-9999.9	3	15.1	3
2023 01 11 16	0.28	0.26	3.8	3.6	9.5	0.46	-9999.9	3	140	-9999.9	42	-9999.9	3	15.1	3
2023 01 11 17	0.25	0.24	4.4	3.2	9.5	0.42	-9999.9	3	148	-9999.9	44	-9999.9	3	15.1	3
2023 01 11 18	0.24	0.23	4.2	4.0	8.7	0.37	-9999.9	3	150	-9999.9	42	-9999.9	3	15.0	3
2023 01 11 19	0.24	0.23	4.0	3.7	10.0	0.37	-9999.9	3	153	-9999.9	42	-9999.9	3	15.0	3
2023 01 11 20	0.25	0.24	3.8	2.4	8.7	0.46	-9999.9	3	150	-9999.9	51	-9999.9	3	15.0	3
2023 01 11 21	0.2	0.19	4.1	2.9	6.1	0.31	-9999.9	3	146	-9999.9	51	-9999.9	3	14.9	3
2023 01 11 22	0.2	0.2	4.5	2.5	9.5	0.37	-9999.9	3	149	-9999.9	46	-9999.9	3	14.9	3
2023 01 11 23	0.21	0.22	4.1	2.5	25.0	0.38	-9999.9	3	159	-9999.9	48	-9999.9	3	14.9	3
2023 01 12 00	0.21	0.22	3.9	2.5	25.0	0.42	-9999.9	3	136	-9999.9	52	-9999.9	3	14.9	3
2023 01 12 01	0.19	0.18	3.9	2.7	8.7	0.3	-9999.9	3	134	-9999.9	51	-9999.9	3	14.9	3
2023 01 12 02	0.16	0.17	3.5	2.3	9.1	0.3	-9999.9	3	151	-9999.9	49	-9999.9	3	14.9	3
2023 01 12 03	0.17	0.16	4.0	3.0	8.7	0.27	-9999.9	3	144	-9999.9	43	-9999.9	3	14.9	3
2023 01 12 04	0.16	0.16	3.9	2.3	7.1	0.31	-9999.9	3	148	-9999.9	45	-9999.9	3	14.8	3
2023 01 12 05	0.2	0.18	3.5	3.3	6.5	0.37	-9999.9	3	139	-9999.9	46	-9999.9	3	14.8	3
2023 01 12 06	0.24	0.23	4.2	3.8	5.7	0.38	-9999.9	3	115	-9999.9	33	-9999.9	3	14.8	3
2023 01 12 07	0.28	0.27	4.6	4.3	6.2	0.39	-9999.9	3	104	-9999.9	30	-9999.9	3	14.8	3
2023 01 12 08	0.3	0.29	4.4	4.3	5.6	0.63	-9999.9	3	106	-9999.9	29	-9999.9	3	14.7	3
2023 01 12 09	0.3	0.29	4.4	4.3	5.6	0.46	-9999.9	3	103	-9999.9	33	-9999.9	3	14.7	3
2023 01 12 10	0.32	0.31	4.3	4.3	5.6	0.5	-9999.9	3	110	-9999.9	33	-9999.9	3	14.8	3
2023 01 12 11	0.35	0.32	4.3	3.3	5.3	0.53	-9999.9	3	112	-9999.9	34	-9999.9	3	14.8	3
2023 01 12 12	0.36	0.35	4.3	3.7	5.7	0.63	-9999.9	3	111	-9999.9	33	-9999.9	3	14.9	3
2023 01 12 13	0.38	0.37	4.3	3.6	6.1	0.65	-9999.9	3	109	-9999.9	32	-9999.9	3	14.9	3
2023 01 12 14	0.41	0.38	3.7	3.3	9.1	0.7	-9999.9	3	117	-9999.9	32	-9999.9	3	14.9	3
2023 01 12 15	0.34	0.31	3.5	3.0	6.2	0.55	-9999.9	3	125	-9999.9	39	-9999.9	3	14.9	3
2023 01 12 16	0.45	0.42	3.0	2.7	9.1	0.65	-9999.9	3	157	-9999.9	39	-9999.9	3	14.9	3
2023 01 12 17	0.53	0.49	3.0	2.9	3.1	0.93	-9999.9	3	177	-9999.9	37	-9999.9	3	14.8	3
2023 01 12 18	0.52	0.49	3.0	3.0	3.3	0.94	-9999.9	3	179	-9999.9	38	-9999.9	3	14.8	3
2023 01 12 19	0.55	0.53	3.1	3.2	3.4	0.83	-9999.9	3	181	-9999.9	34	-9999.9	3	14.7	3
2023 01 12 20	0.5	0.47	3.3	3.2	3.7	0.79	-9999.9	3	182	-9999.9	35	-9999.9	3	14.7	3
2023 01 12 21	0.46	0.44	3.3	3.3	3.2	0.72	-9999.9	3	176	-9999.9	35	-9999.9	3	14.7	3
2023 01 12 22	0.39	0.36	3.3	3.2	3.4	0.59	-9999.9	3	165	-9999.9	36	-9999.9	3	14.8	3
2023 01 12 23	0.38	0.36	3.4	3.4	3.3	0.65	-9999.9	3	164	-9999.9	35	-9999.9	3	14.8	3
2023 01 13 00	0.4	0.39	3.5	3.5	3.4	0.67	-9999.9	3	165	-9999.9	34	-9999.9	3	14.8	3
2023 01 13 01	0.42	0.39	3.6	3.6	3.8	0.56	-9999.9	3	169	-9999.9	35	-9999.9	3	14.8	3
2023 01 13 02	0.36	0.34	3.5	3.5	3.5	0.56	-9999.9	3	163	-9999.9	36	-9999.9	3	14.8	3
2023 01 13 03	0.34	0.32	3.5	3.5	3.7	0.53	-9999.9	3	158	-9999.9	38	-9999.9	3	14.9	3
2023 01 13 04	0.34	0.32	3.5	3.5	3.8	0.54	-9999.9	3	162	-9999.9	38	-9999.9	3	14.9	3
2023 01 13 05	0.32	0.32	3.3	2.8	4.0	0.53	-9999.9	3	173	-9999.9	40	-9999.9	3	14.9	3
2023 01 13 06	0.33	0.31	3.3	3.0	3.8	0.54	-9999.9	3	183	-9999.9	36	-9999.9	3	14.8	3
2023 01 13 07	0.35	0.33	3.4	3.0	3.8	0.53	-9999.9	3	182	-9999.9	38	-9999.9	3	14.8	3
2023 01 13 08	0.35	0.34	3.4	2.9	4.8	0.72	-9999.9	3	178	-9999.9	42	-9999.9	3	14.8	3
2023 01 13 09	0.35	0.35	3.9	3.7	4.8	0.56	-9999.9	3	171	-9999.9	43	-9999.9	3	14.8	3
2023 01 13 10	0.36	0.36	4.1	3.4	5.1	0.79	-9999.9	3	176	-9999.9	41	-9999.9	3	14.9	3
2023 01 13 11	0.4	0.38	3.8	3.0	5.6	0.72	-9999.9	3	182	-9999.9	39	-9999.9	3	14.9	3
2023 01 13 12	0.35	0.34	4.0	3.8	5.3	0.58	-9999.9	3	168	-9999.9	42	-9999.9	3	14.9	3
2023 01 13 13	0.34	0.34	4.1	3.8	5.4	0.49	-9999.9	3	165	-9999.9	43	-9999.9	3	15.0	3
2023 01 13 14	0.34	0.33	4.2	4.0	5.4	0.55	-9999.9	3	170	-9999.9	40	-9999.9	3	15.0	3
2023 01 13 15	0.34	0.33	4.5	4.3	5.4	0.67	-9999.9	3	176	-9999.9	35	-9999.9	3	15.0	3
2023 01 13 16	0.31	0.31	4.1	3.9	5.3	0.55	-9999.9	3	165	-9999.9	41	-9999.9	3	15.0	3
2023 01 13 17	0.31	0.31	4.1	3.5	5.3	0.54	-9999.9	3	168	-9999.9	41	-9999.9	3	15.0	3
2023 01 13 18	0.32	0.31	4.3	4.0	5.1	0.55	-9999.9	3	166	-9999.9	38	-9999.9	3	14.9	3
2023 01 13 19	0.28	0.27	4.3	4.2	4.7	0.44	-9999.9	3	161	-9999.9	44	-9999.9	3	15.0	3
2023 01 13 20	0.29	0.27	4.3	4.1	4.8	0.41	-9999.9	3	163	-9999.9	40	-9999.9	3	15.0	3
2023 01 13 21	0.31	0.3	4.3	4.2	4.7	0.48	-9999.9	3	169	-9999.9	38	-9999.9	3	15.0	3
2023 01 13 22	0.32	0.31	4.2	4.2	4.7	0.5	-9999.9	3	167	-9999.9	37	-9999.9	3	15.0	3
2023 01 13 23	0.31	0.3	3.9	3.8	4.5	0.5	-9999.9	3	168	-9999.9	38	-9999.9	3	15.0	3
2023 01 14 00	0.31	0.3	3.8	3.8	4.9	0.49	-9999.9	3	171	-9999.9	40	-9999.9	3	15.0	3
2023 01 14 01	0.31	0.3	4.0	3.8	4.8	0.49	-9999.9	3	171	-9999.9	39	-9999.9	3	15.0	3
2023 01 14 02	0.3	0.28	4.0	3.8	4.7	0.59	-9999.9	3	167	-9999.9	40	-9999.9	3	15.0	3
2023 01 14 03	0.29	0.28	3.9	3.9	4.7	0.44	-9999.9	3	167	-9999.9	39	-9999.9	3	15.0	3
2023 01 14 04	0.27	0.26	3.9	3.9	4.5	0.43	-9999.9	3	163	-9999.9	39	-9999.9	3	15.0	3
2023 01 14 05	0.27	0.26	3.8	3.8	3.5	0.41	-9999.9	3	167	-9999.9	41	-9999.9	3	15.0	3
2023 01 14 06	0.26	0.25	3.8	3.8	4.3	0.38	-9999.9	3	165	-9999.9	39	-9999.9	3	15.0	3
2023 01 14 07	0.27	0.26	3.7	3.6	4.3	0.41	-9999.9	3	163	-9999.9	40	-9999.9	3	15.0	3
2023 01 14 08	0.25	0.24	3.7	3.7	4.5	0.49	-9999.9	3	160	-9999.9	43	-9999.9	3	15.0	3
2023 01 14 09	0.24	0.23	3.5	3.4	4.0	0.42	-9999.9	3	158	-9999.9	44	-9999.9	3	15.0	3
2023 01 14 10	0.23	0.22	3.4	3.2	5.0	0.4	-9999.9	3	162	-9999.9	45	-9999.9	3	15.0	3
2023 01 14 11	0.22	0.22	3.3	2.8	4.5	0.36	-9999.9	3	169	-9999.9	45	-9999.9	3	15.0	3
2023 01 14 12	0.31	0.3	2.7	2.5	2.9	0.52	-9999.9	3	189	-9999.9	34	-9999.9	3	15.1	3
2023 01 14 13	0.4	0.39	2.7	2.6	3.0	0.67	-9999.9	3	196	-9999.9	40	-9999.9	3	15.1	3
2023 01 14 14	0.45	0.44	2.7	2.7	3.0	0.81	-9999.9	3	199	-9999.9	38	-9999.9	3	15.2	3
2023 01 14 15	0.47	0.47	2.7	2.7	3.1	0.83	-9999.9	3	198	-9999.9	40	-9999.9	3	15.1	3
2023 01 14 16	0.56	0.55	2.9	2.9	3.4	0.89	-9999.9	3	194	-9999.9	39	-9999.9	3	15.1	3
2023 01 14 17	0.6	0.57	2.9	2.8	3.5	1.02	-9999.9	3	195	-9999.9	40	-9999.9	3	15.1	3
2023 01 14 18	0.61	0.6	3.0	3.0	3.5	0.97	-9999.9	3	196	-9999.9	39	-9999.9	3	15.1	3
2023 01 14 19	0.63	0.62	3.1	3.1	3.6	1.08	-9999.9	3	194	-9999.9	36	-9999.9	3	15.1	3
2023 01 14 20	0.57	0.55	3.1	3.2	3.9	0.98	-9999.9	3	185	-9999.9	38	-9999.9	3	15.0	3
2023 01 14 21	0.56	0.54	3.3	3.3	3.7	0.84	-9999.9	3	186	-9999.9	33	-9999.9	3	15.0	3
2023 01 14 22	0.47	0.46	3.2	3.2	3.8	0.85	-9999.9	3	184	-9999.9	37	-9999.9	3	15.0	3
2023 01 14 23	0.45	0.44	3.3	3.2	3.8	0.76	-9999.9	3	186	-9999.9	34	-9999.9	3	15.0	3
2023 01 15 00	0.43	0.43	3.3	3.2	3.7	0.79	-9999.9	3	181	-9999.9	39	-9999.9	3	15.0	3
2023 01 15 01	0.38	0.36	3.2	3.2	3.8	0.62	-9999.9	3	179	-9999.9	35	-9999.9	3	15.0	3
2023 01 15 02	0.38	0.37	3.4	3.3	3.8	0.71	-9999.9	3	177	-9999.9	33	-9999.9	3	15.0	3
2023 01 15 03	0.51	0.49	3.9	3.7	5.4	0.87	-9999.9	3	169	-9999.9	27	-9999.9	3	14.9	3
2023 01 15 04	0.61	0.58	4.2	4.1	5.7	1.03	-9999.9	3	171	-9999.9	28	-9999.9	3	15.0	3
2023 01 15 05	0.63	0.63	4.6	4.4	6.1	0.98	-9999.9	3	175	-9999.9	26	-9999.9	3	15.0	3
2023 01 15 06	0.66	0.64	4.7	4.4	6.1	1.01	-9999.9	3	179	-9999.9	28	-9999.9	3	14.9	3
2023 01 15 07	0.69	0.68	4.8	4.7	5.9	1.11	-9999.9	3	178	-9999.9	27	-9999.9	3	14.9	3
2023 01 15 08	0.65	0.64	4.6	4.1	6.2	0.99	-9999.9	3	182	-9999.9	29	-9999.9	3	14.9	3
2023 01 15 09	0.66	0.66	4.8	4.9	5.9	1.08	-9999.9	3	181	-9999.9	28	-9999.9	3	14.9	3
2023 01 15 10	0.68	0.65	4.1	3.8	5.7	1.12	-9999.9	3	181	-9999.9	33	-9999.9	3	15.0	3
2023 01 15 11	0.7	0.68	3.5	3.4	5.9	1.1	-9999.9	3	190	-9999.9	33	-9999.9	3	15.0	3
2023 01 15 12	0.63	0.61	3.7	3.3	5.6	1.21	-9999.9	3	188	-9999.9	35	-9999.9	3	15.0	3
2023 01 15 13	0.64	0.62	4.6	3.6	5.9	1.04	-9999.9	3	183	-9999.9	31	-9999.9	3	15.0	3
2023 01 15 14	0.56	0.55	4.5	4.0	6.1	1.1	-9999.9	3	182	-9999.9	35	-9999.9	3	15.0	3
2023 01 15 15	0.57	0.55	4.8	4.3	5.7	1.06	-9999.9	3	182	-9999.9	28	-9999.9	3	15.0	3
2023 01 15 16	0.58	0.53	3.0	2.8	5.6	1.0	-9999.9	3	220	-9999.9	37	-9999.9	3	15.0	3
2023 01 15 17	0.46	0.45	3.2	2.7	5.6	0.78	-9999.9	3	197	-9999.9	38	-9999.9	3	14.9	3
2023 01 15 18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9	3	-9999.9	-9999.9	-9999.9	-9999.9	3	14.9	3
2023 01 15 19	0.4	0.39	2.9	2.6	5.7	0.61	-9999.9	3	213	-9999.9	39	-9999.9	3	14.8	3
2023 01 15 20	0.43	0.42	3.4	3.0	5.9	0.71	-9999.9	3	197	-9999.9	33	-9999.9	3	14.8	3
2023 01 15 21	0.37	0.35	3.6	3.4	6.1	0.56	-9999.9	3	194	-9999.9	36	-9999.9	3	14.8	3
2023 01 15 22	0.33	0.33	3.5	3.1	6.2	0.56	-9999.9	3	191	-9999.9	37	-9999.9	3	14.8	3
2023 01 15 23	0.32	0.3	3.6	3.4	5.9	0.52	-9999.9	3	186	-9999.9	40	-9999.9	3	14.8	3
2023 01 16 00	0.39	0.39	3.4	2.9	7.1	0.61	-9999.9	3	158	-9999.9	44	-9999.9	3	14.8	3
2023 01 16 01	0.45	0.43	4.1	3.5	6.9	0.67	-9999.9	3	130	-9999.9	41	-9999.9	3	14.9	3
2023 01 16 02	0.5	0.48	3.9	3.5	5.7	0.76	-9999.9	3	126	-9999.9	41	-9999.9	3	14.9	3
2023 01 16 03	0.53	0.51	4.2	3.8	6.2	0.8	-9999.9	3	120	-9999.9	38	-9999.9	3	14.9	3
2023 01 16 04	0.52	0.51	3.9	3.7	5.9	0.9	-9999.9	3	143	-9999.9	36	-9999.9	3	14.9	3
2023 01 16 05	0.56	0.54	3.5	3.4	3.7	0.99	-9999.9	3	181	-9999.9	30	-9999.9	3	14.9	3
2023 01 16 06	0.77	0.74	3.7	3.8	4.2	1.2	-9999.9	3	192	-9999.9	31	-9999.9	3	14.9	3
2023 01 16 07	0.69	0.66	3.5	3.2	3.9	1.08	-9999.9	3	193	-9999.9	37	-9999.9	3	14.9	3
2023 01 16 08	0.59	0.55	3.4	3.1	3.6	0.93	-9999.9	3	187	-9999.9	36	-9999.9	3	14.9	3
2023 01 16 09	0.73	0.71	3.6	3.5	6.7	1.18	-9999.9	3	184	-9999.9	29	-9999.9	3	14.9	3
2023 01 16 10	0.71	0.67	3.7	3.5	3.9	1.31	-9999.9	3	182	-9999.9	27	-9999.9	3	14.9	3
2023 01 16 11	0.69	0.66	3.7	3.7	6.2	1.1	-9999.9	3	181	-9999.9	29	-9999.9	3	15.0	3
2023 01 16 12	1.0	0.95	4.3	3.9	5.3	1.6	-9999.9	3	182	-9999.9	22	-9999.9	3	15.0	3
2023 01 16 13	1.26	1.22	4.9	5.0	6.1	1.95	-9999.9	3	183	-9999.9	22	-9999.9	3	15.0	3
2023 01 16 14	1.4	1.36	5.3	5.1	6.7	2.25	-9999.9	3	186	-9999.9	21	-9999.9	3	15.0	3
2023 01 16 15	1.35	1.3	5.5	5.2	7.7	2.2	-9999.9	3	188	-9999.9	22	-9999.9	3	14.9	3
2023 01 16 16	1.33	1.26	5.8	5.5	8.0	2.91	-9999.9	3	189	-9999.9	22	-9999.9	3	14.9	3
2023 01 16 17	1.2	1.16	5.5	5.2	7.1	2.14	-9999.9	3	186	-9999.9	27	-9999.9	3	14.9	3
2023 01 16 18	1.13	1.12	5.2	5.2	7.4	1.81	-9999.9	3	183	-9999.9	29	-9999.9	3	14.9	3
2023 01 16 19	1.08	1.06	5.2	5.3	7.7	1.93	-9999.9	3	185	-9999.9	28	-9999.9	3	14.9	3
2023 01 16 20	1.1	1.06	5.6	5.5	8.0	1.76	-9999.9	3	186	-9999.9	27	-9999.9	3	14.9	3
2023 01 16 21	1.19	1.16	5.5	5.5	8.0	2.02	-9999.9	3	181	-9999.9	25	-9999.9	3	14.9	3
2023 01 16 22	1.6	1.56	5.1	5.1	6.9	2.42	-9999.9	3	187	-9999.9	25	-9999.9	3	14.9	3
2023 01 16 23	2.1	2.03	5.4	5.5	8.0	3.76	-9999.9	3	186	-9999.9	22	-9999.9	3	14.9	3
2023 01 17 00	2.2	2.14	5.8	5.8	8.0	3.24	-9999.9	3	187	-9999.9	22	-9999.9	3	14.9	3
2023 01 17 01	2.25	2.17	5.9	6.0	8.7	4.02	-9999.9	3	186	-9999.9	21	-9999.9	3	14.8	3
2023 01 17 02	2.26	2.2	5.8	5.9	8.3	3.16	-9999.9	3	185	-9999.9	20	-9999.9	3	14.8	3
2023 01 17 03	2.27	2.24	6.0	6.1	8.3	3.35	-9999.9	3	184	-9999.9	21	-9999.9	3	14.8	3
2023 01 17 04	2.18	2.09	6.1	6.2	8.3	3.48	-9999.9	3	184	-9999.9	21	-9999.9	3	14.8	3
2023 01 17 05	2.02	1.97	5.9	5.7	8.3	2.98	-9999.9	3	187	-9999.9	23	-9999.9	3	14.8	3
2023 01 17 06	2.06	1.98	6.0	6.1	8.3	3.04	-9999.9	3	185	-9999.9	22	-9999.9	3	14.8	3
2023 01 17 07	1.84	1.79	5.7	5.7	8.3	2.95	-9999.9	3	186	-9999.9	27	-9999.9	3	14.8	3
2023 01 17 08	1.91	1.88	6.0	5.9	8.3	2.98	-9999.9	3	181	-9999.9	23	-9999.9	3	14.8	3
2023 01 17 09	1.92	1.85	6.4	6.3	9.5	3.06	-9999.9	3	180	-9999.9	21	-9999.9	3	14.8	3
2023 01 17 10	1.83	1.8	6.6	6.4	9.1	3.34	-9999.9	3	178	-9999.9	21	-9999.9	3	14.8	3
2023 01 17 11	1.57	1.51	5.5	5.2	8.0	2.37	-9999.9	3	183	-9999.9	25	-9999.9	3	14.8	3
2023 01 17 12	1.53	1.47	5.6	5.4	8.7	2.33	-9999.9	3	176	-9999.9	24	-9999.9	3	14.8	3
2023 01 17 13	1.27	1.2	5.1	5.0	9.1	2.05	-9999.9	3	181	-9999.9	26	-9999.9	3	14.7	3
2023 01 17 14	1.23	1.17	5.0	4.8	8.3	1.75	-9999.9	3	180	-9999.9	29	-9999.9	3	14.7	3
2023 01 17 15	1.02	1.0	4.9	5.0	8.0	1.57	-9999.9	3	179	-9999.9	29	-9999.9	3	14.8	3
2023 01 17 16	1.03	0.94	4.6	4.3	8.3	1.88	-9999.9	3	178	-9999.9	29	-9999.9	3	14.8	3
2023 01 17 17	0.96	0.91	5.6	5.1	8.7	1.58	-9999.9	3	174	-9999.9	27	-9999.9	3	14.7	3
2023 01 17 18	0.97	0.94	4.8	4.8	8.3	1.67	-9999.9	3	178	-9999.9	29	-9999.9	3	14.7	3
2023 01 17 19	0.86	0.83	5.5	5.5	8.7	1.39	-9999.9	3	174	-9999.9	26	-9999.9	3	14.7	3
2023 01 17 20	1.01	0.99	5.9	5.7	9.5	1.55	-9999.9	3	169	-9999.9	25	-9999.9	3	14.7	3
2023 01 17 21	0.96	0.92	5.6	5.3	9.5	1.41	-9999.9	3	172	-9999.9	26	-9999.9	3	14.6	3
2023 01 17 22	0.98	0.93	5.8	5.0	8.3	1.52	-9999.9	3	173	-9999.9	27	-9999.9	3	14.7	3
