Valor nulo: -9999.9														
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)	Velocidad del viento(m/s)	Direc. de proced. del Viento(0=N,90=E)
2023 01 02 22	0.48	4.23	5.65	109	0.0	180	0.44	4.48	101	0.08	4.77	195	2.75	15
2023 01 02 23	0.48	4.3	5.65	109	0.02	357	0.44	4.67	102	0.09	4.69	194	3.61	356
2023 01 03 00	0.5	4.42	5.65	108	0.01	15	0.44	4.67	104	0.13	7.01	80	3.3	15
2023 01 03 01	0.52	4.57	6.83	107	0.01	335	0.36	4.16	104	0.36	9.08	105	3.32	334
2023 01 03 02	0.54	4.72	6.83	106	0.02	333	0.46	4.88	105	0.22	6.37	79	3.69	334
2023 01 03 03	0.56	4.85	6.83	105	0.02	341	0.47	5.03	106	0.25	6.1	80	4.32	343
2023 01 03 04	0.57	4.95	6.83	104	0.02	352	0.48	5.15	106	0.26	6.07	80	4.13	351
2023 01 03 05	0.58	5.04	6.83	104	0.02	356	0.49	5.37	106	0.27	5.46	80	4.24	356
2023 01 03 06	0.58	5.09	6.21	104	0.02	353	0.49	5.44	106	0.26	5.31	80	3.67	354
2023 01 03 07	0.58	5.11	6.21	104	0.0	335	0.5	5.48	106	0.25	5.05	80	2.98	332
2023 01 03 08	0.57	5.11	6.21	104	0.0	310	0.49	5.49	106	0.25	4.87	80	3.03	309
2023 01 03 09	0.57	5.08	6.21	104	0.0	180	0.49	5.49	106	0.24	4.62	79	2.93	310
2023 01 03 10	0.57	5.0	6.21	104	0.0	180	0.48	5.46	105	0.25	4.6	79	1.98	338
2023 01 03 11	0.57	4.86	6.21	105	0.0	180	0.47	5.4	106	0.26	4.66	79	0.93	0
2023 01 03 12	0.56	4.8	6.21	105	0.0	180	0.46	5.35	106	0.27	4.72	79	1.31	168
2023 01 03 13	0.56	4.8	6.21	105	0.0	180	0.45	5.29	106	0.27	4.75	79	1.22	164
2023 01 03 14	0.54	4.8	6.21	105	0.0	180	0.43	5.22	106	0.27	4.75	79	2.34	141
2023 01 03 15	0.52	4.73	6.21	105	0.02	128	0.41	5.24	106	0.26	4.72	79	3.43	135
2023 01 03 16	0.5	4.61	6.21	106	0.03	147	0.4	5.14	106	0.25	4.65	79	3.99	157
2023 01 03 17	0.48	4.43	6.21	106	0.06	168	0.38	5.03	106	0.24	4.58	80	5.05	178
2023 01 03 18	0.47	4.34	6.21	107	0.0	180	0.36	4.85	106	0.23	4.53	80	2.42	305
2023 01 03 19	0.45	4.17	6.21	108	0.0	180	0.35	4.76	107	0.23	4.5	80	2.68	343
2023 01 03 20	0.44	4.18	6.21	107	0.0	180	0.33	4.67	107	0.23	4.53	81	2.16	344
2023 01 03 21	0.42	4.29	6.21	106	0.0	180	0.32	4.61	107	0.23	4.54	81	1.23	357
2023 01 03 22	0.41	4.37	6.21	106	0.0	180	0.3	4.54	108	0.23	4.57	82	1.89	319
2023 01 03 23	0.4	4.39	5.65	105	0.0	180	0.3	4.53	108	0.3	5.94	82	2.28	8
2023 01 04 00	0.39	4.38	5.65	105	0.0	180	0.29	4.53	108	0.29	5.88	81	1.66	2
2023 01 04 01	0.38	4.36	5.65	105	0.0	180	0.28	4.49	109	0.28	5.54	82	2.15	354
2023 01 04 02	0.37	4.32	5.65	105	0.0	180	0.27	4.49	109	0.27	5.49	82	2.11	352
2023 01 04 03	0.37	4.21	6.21	106	0.0	180	0.23	4.1	108	0.23	4.66	82	2.16	347
2023 01 04 04	0.36	4.09	5.65	106	0.0	180	0.26	4.52	109	0.26	5.44	81	2.18	342
2023 01 04 05	0.35	4.02	5.65	106	0.0	180	0.26	4.51	109	0.26	5.36	81	2.21	349
2023 01 04 06	0.34	3.98	5.65	105	0.0	180	0.25	4.49	109	0.25	5.31	81	2.75	348
2023 01 04 07	0.32	3.97	5.65	105	0.0	180	0.24	4.48	109	0.24	5.28	80	2.24	348
2023 01 04 08	0.31	3.95	5.65	105	0.0	180	0.22	5.31	110	0.22	4.15	83	2.15	332
2023 01 04 09	0.29	3.92	5.65	105	0.0	180	0.22	5.3	110	0.22	4.14	83	1.62	359
2023 01 04 10	0.28	3.89	5.65	105	0.0	180	0.21	5.27	110	0.16	3.18	82	0.32	96
2023 01 04 11	0.26	3.85	5.65	105	0.0	180	0.2	5.27	110	0.11	5.1	83	2.02	143
2023 01 04 12	0.25	3.81	5.65	105	0.0	180	0.2	5.26	110	0.1	5.05	83	1.34	158
2023 01 04 13	0.24	3.77	5.65	105	0.0	180	0.19	5.26	110	0.09	4.96	82	1.63	209
2023 01 04 14	0.23	3.74	5.65	105	0.0	180	0.18	5.26	111	0.09	4.92	83	2.07	188
2023 01 04 15	0.22	3.69	5.65	105	0.0	180	0.18	5.27	111	0.08	4.88	83	2.6	206
2023 01 04 16	0.22	3.63	5.65	106	0.01	222	0.17	5.27	111	0.07	4.84	82	3.08	220
2023 01 04 17	0.21	3.48	5.65	106	0.04	249	0.16	5.26	111	0.07	4.77	83	3.97	255
2023 01 04 18	0.2	3.38	6.21	107	0.03	266	0.16	5.25	111	0.06	4.7	81	3.67	282
2023 01 04 19	0.19	3.34	6.21	108	0.0	355	0.15	5.25	111	0.05	4.51	81	2.96	352
2023 01 04 20	0.18	3.3	6.21	109	0.01	350	0.15	5.24	111	0.05	4.43	80	3.12	349
2023 01 04 21	0.18	3.28	6.21	109	0.02	0	0.14	5.25	111	0.05	4.4	82	3.74	1
2023 01 04 22	0.17	3.26	6.21	110	0.0	180	0.14	5.25	111	0.04	4.35	81	2.92	339
2023 01 04 23	0.17	3.15	5.65	116	0.01	350	0.13	5.25	111	0.04	4.19	80	3.33	349
2023 01 05 00	0.17	3.01	5.65	121	0.01	335	0.13	5.25	111	0.04	4.11	79	3.05	336
2023 01 05 01	0.17	2.91	5.65	123	0.0	180	0.12	5.29	112	0.04	4.03	81	2.36	347
2023 01 05 02	0.16	2.85	5.65	125	0.0	180	0.12	5.27	112	0.03	4.16	83	1.72	22
2023 01 05 03	0.16	2.8	5.65	128	0.0	180	0.11	5.25	112	0.03	4.08	84	1.86	352
2023 01 05 04	0.16	2.76	5.65	128	0.0	180	0.1	5.23	112	0.03	4.05	83	2.4	345
2023 01 05 05	0.15	2.72	5.65	124	0.0	180	0.1	5.19	112	0.02	4.02	83	2.87	338
2023 01 05 06	0.14	2.69	5.65	121	0.0	180	0.09	5.15	112	0.02	3.93	83	2.67	357
2023 01 05 07	0.13	2.66	5.65	119	0.0	180	0.09	5.13	111	0.02	3.85	82	2.76	351
2023 01 05 08	0.13	2.61	5.65	121	0.0	180	0.08	5.14	111	0.02	3.81	82	1.99	345
2023 01 05 09	0.13	2.56	5.13	126	0.0	180	0.08	5.09	111	0.04	3.18	232	0.29	344
2023 01 05 10	0.12	2.51	5.13	133	0.0	180	0.07	5.05	111	0.04	3.22	230	0.8	298
2023 01 05 11	0.12	2.48	5.13	143	0.0	180	0.07	5.02	111	0.05	3.21	230	0.74	307
2023 01 05 12	0.14	2.23	5.13	190	0.08	245	0.06	2.52	219	0.06	5.1	111	4.62	264
2023 01 05 13	0.19	1.87	2.17	225	0.16	237	0.06	4.97	111	0.01	8.16	111	5.29	224
2023 01 05 14	0.22	1.76	1.98	229	0.2	236	0.05	4.93	111	0.04	3.92	229	4.83	237
2023 01 05 15	0.25	1.85	2.17	232	0.22	237	0.07	3.69	223	0.07	6.92	111	4.93	245
2023 01 05 16	0.27	2.0	2.39	230	0.24	235	0.07	3.72	219	0.05	2.94	203	5.09	242
2023 01 05 17	0.29	2.1	2.63	231	0.25	237	0.1	3.11	206	0.04	4.87	112	5.82	257
2023 01 05 18	0.26	2.23	2.9	229	0.13	257	0.19	2.48	216	0.11	2.72	241	4.96	284
2023 01 05 19	0.24	2.38	3.19	227	0.0	180	0.23	2.34	229	0.03	4.8	112	2.63	295
2023 01 05 20	0.19	2.38	3.19	227	0.02	10	0.19	2.36	228	0.02	4.78	112	3.64	11
2023 01 05 21	0.17	2.4	3.19	227	0.02	9	0.13	2.6	219	0.1	2.08	243	3.9	8
2023 01 05 22	0.18	2.48	3.19	225	0.0	180	0.18	2.43	227	0.01	6.95	111	2.92	355
2023 01 05 23	0.18	2.46	3.19	224	0.0	180	0.17	2.41	227	0.01	6.71	110	1.83	311
2023 01 06 00	0.16	2.41	3.19	225	0.0	180	0.16	2.35	229	0.01	6.71	110	2.37	330
2023 01 06 01	0.15	2.36	3.19	225	0.02	356	0.14	2.32	229	0.01	6.57	111	3.76	355
2023 01 06 02	0.14	2.27	2.9	225	0.0	0	0.12	2.19	231	0.01	9.52	110	3.02	358
2023 01 06 03	0.12	2.2	2.63	225	0.0	180	0.11	2.09	239	0.01	9.5	111	2.87	0
2023 01 06 04	0.11	2.19	2.9	223	0.0	180	0.1	2.07	241	-9999.9	-9999.9	-9999.9	2.4	8
2023 01 06 05	0.11	2.22	2.9	220	0.0	180	0.04	3.22	237	0.04	23.38	111	2.43	18
2023 01 06 06	0.11	2.25	2.9	217	0.0	180	0.08	2.33	199	-9999.9	-9999.9	-9999.9	2.62	15
2023 01 06 07	0.12	2.27	2.9	214	0.0	180	0.09	2.33	199	-9999.9	-9999.9	-9999.9	2.48	14
2023 01 06 08	0.12	2.29	2.9	211	0.0	180	0.05	2.68	206	0.05	23.3	111	2.54	9
2023 01 06 09	0.12	2.32	3.5	205	0.0	180	0.08	2.37	160	-9999.9	-9999.9	-9999.9	2.05	13
2023 01 06 10	0.11	2.38	3.5	196	0.0	180	0.09	2.46	183	-9999.9	-9999.9	-9999.9	1.16	6
2023 01 06 11	0.12	2.5	3.5	187	0.0	180	0.1	2.59	181	0.02	8.87	111	0.11	102
2023 01 06 12	0.12	2.7	3.86	183	0.0	180	0.11	2.78	183	0.02	8.83	111	1.86	222
2023 01 06 13	0.14	2.97	3.86	184	0.0	180	0.13	3.08	185	0.02	8.52	111	0.7	336
2023 01 06 14	0.17	3.27	4.67	185	0.0	180	0.15	3.85	185	0.02	8.49	111	1.47	176
2023 01 06 15	0.2	3.5	4.67	186	0.0	180	0.18	4.09	186	0.02	8.46	111	2.4	179
2023 01 06 16	0.22	3.64	4.67	186	0.0	180	0.2	4.36	187	0.02	8.43	111	2.67	195
2023 01 06 17	0.23	3.55	4.67	187	0.03	248	0.18	3.96	188	0.18	9.45	183	3.4	245
2023 01 06 18	0.24	3.08	4.67	189	0.01	27	0.2	4.18	188	0.08	5.77	182	3.35	26
2023 01 06 19	0.26	2.95	4.67	192	0.02	355	0.2	4.15	188	0.08	5.77	181	3.9	353
2023 01 06 20	0.26	3.18	4.67	190	0.02	351	0.2	3.81	187	0.11	5.51	180	4.17	351
2023 01 06 21	0.26	3.42	4.67	188	0.02	353	0.21	3.79	187	0.12	5.51	180	4.21	352
2023 01 06 22	0.27	3.63	4.67	186	0.02	345	0.22	3.76	187	0.13	5.51	179	3.7	344
2023 01 06 23	0.28	3.77	4.67	186	0.01	350	0.23	3.77	187	0.23	8.58	180	3.36	348
2023 01 07 00	0.3	3.87	4.67	186	0.01	355	0.24	3.78	187	0.24	8.21	181	3.21	355
2023 01 07 01	0.32	3.96	5.13	186	0.0	180	0.32	4.12	185	0.02	7.93	110	2.65	353
2023 01 07 02	0.35	4.06	5.13	185	0.0	180	0.35	4.2	185	0.02	7.91	110	2.42	350
2023 01 07 03	0.39	4.18	5.13	184	0.0	180	0.38	4.28	184	0.02	7.88	110	2.85	343
2023 01 07 04	0.43	4.26	5.13	182	0.02	351	0.42	4.42	182	0.02	7.88	110	4.17	350
2023 01 07 05	0.46	4.29	5.13	182	0.02	345	0.46	4.41	182	0.02	7.87	110	3.75	345
2023 01 07 06	0.48	4.28	5.13	183	0.02	355	0.48	4.37	183	0.02	7.87	110	4.43	354
2023 01 07 07	0.49	4.25	5.13	184	0.03	357	0.49	4.31	184	0.02	7.86	110	4.84	357
2023 01 07 08	0.5	4.23	5.13	184	0.0	350	0.5	4.27	184	0.02	7.84	110	2.99	347
2023 01 07 09	0.51	4.23	5.13	184	0.0	180	0.5	4.22	185	0.09	6.94	170	2.73	348
2023 01 07 10	0.51	4.23	5.13	184	0.0	180	0.5	4.21	184	0.1	6.94	170	1.11	329
2023 01 07 11	0.5	4.22	5.13	183	0.0	180	0.48	4.18	184	0.1	6.95	170	1.48	192
2023 01 07 12	0.48	4.18	5.13	183	0.0	180	0.47	4.15	183	0.1	6.96	170	1.27	84
2023 01 07 13	0.46	4.14	5.13	182	0.0	180	0.45	4.12	183	0.09	6.96	170	1.14	117
2023 01 07 14	0.44	3.96	5.13	183	0.0	180	0.43	4.13	182	0.09	6.96	170	1.72	174
2023 01 07 15	0.45	3.43	5.13	188	0.1	249	0.41	4.18	182	0.08	6.97	170	3.84	261
2023 01 07 16	0.45	3.26	5.13	191	0.12	254	0.37	4.14	182	0.12	6.37	180	4.09	270
2023 01 07 17	0.47	3.06	5.13	194	0.24	242	0.33	4.06	183	0.33	9.29	181	5.75	257
2023 01 07 18	0.49	3.51	6.21	191	0.07	258	0.44	4.72	183	0.16	2.09	244	3.21	265
2023 01 07 19	0.54	3.98	6.21	189	0.0	180	0.5	4.91	184	0.19	2.16	230	2.34	355
2023 01 07 20	0.56	4.26	6.21	188	0.0	180	0.54	4.13	189	0.16	7.07	169	2.4	349
2023 01 07 21	0.56	4.38	6.21	188	0.0	180	0.56	4.38	188	0.01	7.44	107	2.2	341
2023 01 07 22	0.54	4.48	6.21	189	0.0	180	0.54	4.47	189	0.01	7.15	107	2.03	11
2023 01 07 23	0.53	4.6	6.21	191	0.0	180	0.53	4.6	191	0.01	7.11	107	2.5	356
2023 01 08 00	0.56	4.75	6.21	193	0.0	180	0.48	5.09	188	0.28	4.07	209	2.68	331
2023 01 08 01	0.62	4.95	6.83	194	0.0	180	0.53	5.3	189	0.31	4.26	208	2.77	327
2023 01 08 02	0.66	5.1	6.21	193	0.0	180	0.66	5.1	194	0.01	7.47	107	2.47	306
2023 01 08 03	0.68	5.13	6.21	193	0.0	180	0.68	5.13	193	0.01	7.52	106	1.84	295
2023 01 08 04	0.68	5.09	6.21	193	0.0	180	0.63	4.88	195	0.25	7.26	180	1.74	308
2023 01 08 05	0.68	5.05	6.21	193	0.0	180	0.55	4.54	196	0.55	10.15	186	1.36	320
2023 01 08 06	0.7	5.12	6.83	192	0.0	180	0.55	4.48	196	0.55	9.01	186	0.79	308
2023 01 08 07	0.79	5.39	7.52	191	0.0	180	0.79	5.39	191	0.01	7.99	104	1.14	327
2023 01 08 08	0.9	5.68	7.52	190	0.0	180	0.9	5.68	190	0.01	7.96	104	2.58	306
2023 01 08 09	0.99	5.85	7.52	189	0.0	180	0.99	5.85	189	0.01	8.14	103	1.36	305
2023 01 08 10	1.13	6.02	7.52	188	0.0	180	0.9	6.37	181	0.67	5.51	201	1.36	248
2023 01 08 11	1.27	6.07	6.83	187	0.0	180	1.19	5.87	190	0.44	8.51	169	1.77	255
2023 01 08 12	1.35	6.02	6.83	187	0.0	10	1.26	5.84	189	0.47	8.52	168	3.0	14
2023 01 08 13	1.37	5.92	6.83	186	0.0	180	1.28	5.72	189	0.47	8.5	167	1.94	54
2023 01 08 14	1.3	5.78	6.83	186	0.0	180	1.3	5.78	186	0.01	18.74	152	2.18	99
2023 01 08 15	1.34	5.92	7.52	186	0.0	180	1.22	5.66	190	0.54	8.25	165	0.94	71
2023 01 08 16	1.52	6.29	8.27	185	0.0	180	1.22	6.65	175	0.9	5.77	203	0.57	270
2023 01 08 17	1.69	6.53	7.52	183	0.0	180	1.69	6.53	183	0.01	19.78	144	1.74	245
2023 01 08 18	1.85	6.68	7.52	182	0.0	180	1.54	6.1	189	1.54	13.29	167	1.02	192
2023 01 08 19	1.95	6.74	8.27	181	0.0	180	1.59	6.1	188	1.59	12.58	168	1.8	210
2023 01 08 20	1.93	6.69	8.27	181	0.0	180	1.73	6.32	185	0.85	9.48	165	2.42	277
2023 01 08 21	1.88	6.61	8.27	182	0.03	268	1.71	6.29	185	0.79	9.52	165	3.76	285
2023 01 08 22	1.86	6.51	8.27	182	0.07	245	1.86	6.58	182	0.01	21.06	140	4.06	267
2023 01 08 23	1.85	6.17	8.27	183	0.33	225	1.82	6.77	182	0.01	21.12	140	6.79	250
2023 01 09 00	1.84	6.16	8.27	183	0.24	232	1.77	6.49	184	0.46	10.32	160	5.89	256
2023 01 09 01	1.83	6.01	8.27	183	0.36	229	1.79	6.75	182	0.0	21.74	137	8.45	267
2023 01 09 02	1.79	5.95	8.27	184	0.46	222	1.73	7.06	182	0.0	21.88	137	7.48	243
2023 01 09 03	1.74	6.06	8.27	185	0.39	220	1.69	7.09	184	0.01	4.24	248	6.08	227
2023 01 09 04	1.67	6.16	8.27	186	0.3	224	1.64	6.99	185	0.02	3.86	248	5.59	233
2023 01 09 05	1.6	6.43	8.27	187	0.0	180	1.6	6.43	187	0.0	22.3	140	2.48	233
2023 01 09 06	1.52	6.47	8.27	188	0.08	249	1.52	6.63	187	0.0	22.3	140	3.94	264
2023 01 09 07	1.43	6.31	8.27	189	0.09	263	1.42	6.59	189	0.16	3.36	251	5.6	299
2023 01 09 08	1.32	6.04	8.27	192	0.1	250	1.25	6.66	189	0.23	11.24	183	3.79	257
2023 01 09 09	1.23	5.02	8.27	195	0.63	222	1.03	7.56	188	0.23	11.28	180	8.98	225
2023 01 09 10	1.15	4.33	7.52	200	0.6	235	0.98	7.36	189	0.02	3.19	179	8.36	247
2023 01 09 11	1.02	4.34	7.52	199	0.33	258	0.9	7.21	191	0.34	2.76	222	9.49	303
2023 01 09 12	0.96	3.73	7.52	201	0.39	270	0.87	5.83	193	0.11	3.2	235	10.66	307
2023 01 09 13	0.94	3.62	7.52	208	0.49	270	0.76	7.47	191	0.26	3.15	217	10.49	296
2023 01 09 14	0.94	3.42	8.27	216	0.57	268	0.69	7.59	191	0.27	3.27	218	11.21	296
2023 01 09 15	0.89	3.49	11.01	218	0.54	267	0.63	7.81	191	0.28	3.42	221	9.67	292
2023 01 09 16	0.84	3.39	11.01	220	0.55	264	0.59	7.86	192	0.21	3.26	220	9.94	290
2023 01 09 17	0.75	3.39	10.01	219	0.48	263	0.53	7.98	192	0.21	3.27	223	8.31	287
2023 01 09 18	0.72	3.1	10.01	224	0.54	253	0.46	8.09	192	0.06	7.11	162	9.72	268
2023 01 09 19	0.79	2.81	10.01	234	0.64	257	0.42	8.29	192	0.1	4.07	212	12.61	288
2023 01 09 20	0.67	3.14	8.27	223	0.41	260	0.41	8.21	192	0.28	3.19	228	6.0	275
2023 01 09 21	0.62	3.23	8.27	217	0.36	253	0.4	8.01	192	0.2	2.8	222	6.22	275
2023 01 09 22	0.54	3.58	8.27	211	0.06	277	0.39	7.81	192	0.34	2.62	239	3.1	277
2023 01 09 23	0.47	3.97	7.52	205	0.0	180	0.37	7.62	192	0.26	2.47	238	1.49	313
2023 01 10 00	0.47	3.97	7.52	206	0.0	180	0.35	7.57	192	0.28	2.72	232	1.99	28
2023 01 10 01	0.49	3.86	7.52	209	0.0	180	0.33	7.57	192	0.22	4.34	216	2.41	299
2023 01 10 02	0.51	3.35	7.52	213	0.24	244	0.32	3.47	219	0.32	7.77	192	6.31	273
2023 01 10 03	0.49	3.32	7.52	214	0.14	259	0.21	6.63	192	0.21	9.57	192	5.43	290
2023 01 10 04	0.46	3.36	9.1	215	0.12	267	0.31	3.01	232	0.31	8.27	192	6.25	305
2023 01 10 05	0.44	3.18	9.1	217	0.14	274	0.31	3.22	233	0.31	8.75	192	7.76	314
2023 01 10 06	0.44	2.68	9.1	220	0.21	281	0.28	3.3	236	0.28	7.89	192	7.41	312
2023 01 10 07	0.44	2.59	9.1	223	0.21	306	0.27	3.22	240	0.27	7.58	192	6.05	320
2023 01 10 08	0.39	3.27	9.1	214	0.0	180	0.28	7.52	192	0.23	3.04	244	0.36	31
2023 01 10 09	0.4	3.25	9.1	212	0.25	247	0.29	7.48	192	0.03	5.48	234	7.4	261
2023 01 10 10	0.47	2.63	9.1	221	0.36	247	0.3	7.37	193	0.02	6.38	162	7.87	254
2023 01 10 11	0.51	2.71	9.1	224	0.4	245	0.23	6.45	193	0.23	10.7	193	7.71	258
2023 01 10 12	0.48	2.92	7.52	216	0.2	249	0.31	2.88	230	0.31	7.63	193	4.27	255
2023 01 10 13	0.45	3.07	7.52	211	0.01	38	0.34	2.45	228	0.34	8.19	193	3.49	39
2023 01 10 14	0.43	3.1	6.83	209	0.0	180	0.31	2.41	227	0.31	7.5	193	1.17	75
2023 01 10 15	0.38	3.2	6.83	204	0.0	180	0.27	6.39	193	0.25	2.27	227	1.43	102
2023 01 10 16	0.36	2.92	6.83	199	0.2	216	0.26	6.23	193	0.07	2.39	253	5.69	193
2023 01 10 17	0.39	2.57	6.83	197	0.27	207	0.24	6.31	193	0.09	4.55	75	6.57	190
2023 01 10 18	0.44	2.57	6.21	196	0.34	202	0.24	5.98	192	0.09	4.43	76	6.33	199
2023 01 10 19	0.52	2.64	2.9	194	0.44	200	0.22	5.89	192	0.09	2.86	148	6.53	211
2023 01 10 20	0.58	2.71	3.5	195	0.44	210	0.21	3.76	171	0.21	5.94	192	6.02	227
2023 01 10 21	0.53	2.93	3.5	192	0.0	180	0.5	2.78	194	0.5	16.66	192	1.51	317
2023 01 10 22	0.48	3.02	3.5	189	0.0	180	0.44	2.84	191	0.44	15.38	192	2.11	19
2023 01 10 23	0.43	3.04	3.5	187	0.0	180	0.39	2.82	189	0.39	12.91	193	2.66	353
2023 01 11 00	0.39	3.03	3.5	186	0.0	180	0.35	2.78	187	0.35	11.12	193	1.61	351
