Valor nulo: -9999.9														
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)	Velocidad del viento(m/s)	Direc. de proced. del Viento(0=N,90=E)
2023 01 01 00	0.35	3.33	5.13	186	0.0	180	0.35	3.33	186	0.01	14.79	168	0.87	201
2023 01 01 01	0.35	3.35	5.13	186	0.0	180	0.32	3.6	192	0.14	2.59	148	0.71	299
2023 01 01 02	0.34	3.36	4.67	186	0.0	180	0.3	3.72	192	0.15	2.56	151	0.4	331
2023 01 01 03	0.33	3.36	4.67	185	0.0	180	0.3	3.74	192	0.15	2.55	151	1.67	69
2023 01 01 04	0.33	3.36	4.67	184	0.02	82	0.29	3.75	191	0.14	2.73	153	3.56	80
2023 01 01 05	0.34	3.35	4.67	183	0.03	90	0.3	3.8	190	0.14	2.76	153	3.96	83
2023 01 01 06	0.35	3.38	4.67	182	0.0	180	0.34	3.53	182	0.06	1.84	0	2.93	78
2023 01 01 07	0.37	3.47	4.67	182	0.01	52	0.36	3.59	181	0.03	1.8	63	3.08	51
2023 01 01 08	0.39	3.56	4.67	181	0.01	53	0.38	3.66	181	0.03	1.9	61	3.16	53
2023 01 01 09	0.4	3.62	4.67	182	0.02	38	0.4	3.72	181	0.03	2.46	47	3.75	33
2023 01 01 10	0.41	3.62	4.67	181	0.03	25	0.41	3.73	182	0.04	5.89	137	3.82	19
2023 01 01 11	0.42	3.59	4.67	180	0.0	180	0.4	3.71	181	0.07	5.56	142	2.83	30
2023 01 01 12	0.42	3.41	4.67	178	0.06	66	0.39	3.73	181	0.1	5.32	143	3.38	65
2023 01 01 13	0.41	3.3	4.67	174	0.0	180	0.32	3.94	189	0.19	3.29	153	2.29	75
2023 01 01 14	0.39	3.36	4.67	173	0.04	87	0.3	3.89	189	0.2	3.35	152	3.14	90
2023 01 01 15	0.38	3.22	4.24	172	0.1	89	0.28	3.84	189	0.22	3.61	151	4.42	89
2023 01 01 16	0.37	2.97	4.24	171	0.11	93	0.27	3.76	188	0.22	3.53	150	4.25	91
2023 01 01 17	0.35	2.94	4.24	170	0.09	90	0.25	3.68	188	0.22	3.2	149	3.47	89
2023 01 01 18	0.33	2.91	4.24	170	0.09	97	0.23	3.58	189	0.14	3.87	159	3.86	88
2023 01 01 19	0.33	2.67	3.86	168	0.11	100	0.22	3.48	189	0.19	3.23	151	4.49	85
2023 01 01 20	0.32	2.64	3.86	166	0.0	180	0.2	3.18	157	0.2	3.55	191	2.53	67
2023 01 01 21	0.32	2.47	3.86	163	0.11	87	0.19	3.31	190	0.17	3.63	156	4.66	64
2023 01 01 22	0.32	2.45	3.86	156	0.06	71	0.18	3.35	190	0.15	3.7	157	3.06	70
2023 01 01 23	0.3	2.62	3.86	157	0.0	180	0.16	3.53	160	0.16	3.32	193	2.23	62
2023 01 02 00	0.29	2.7	3.86	158	0.0	35	0.21	2.4	148	0.21	4.42	193	2.97	36
2023 01 02 01	0.28	2.74	3.5	157	0.0	180	0.18	2.8	158	0.18	3.74	194	2.43	29
2023 01 02 02	0.28	2.77	3.5	156	0.0	180	0.16	2.88	160	0.16	3.5	194	2.58	26
2023 01 02 03	0.27	2.78	3.5	154	0.0	180	0.16	2.74	159	0.14	3.01	195	2.47	18
2023 01 02 04	0.26	2.79	3.5	152	0.01	357	0.16	2.77	112	0.16	3.11	161	3.33	356
2023 01 02 05	0.25	2.79	3.5	150	0.01	345	0.16	2.83	112	0.14	2.75	161	3.26	344
2023 01 02 06	0.25	2.8	3.5	148	0.01	357	0.16	2.89	112	0.12	2.87	195	3.27	357
2023 01 02 07	0.24	2.81	3.5	146	0.0	180	0.17	2.85	112	0.11	2.84	195	1.72	344
2023 01 02 08	0.24	2.84	3.5	143	0.0	180	0.18	2.94	112	0.11	2.81	195	2.58	346
2023 01 02 09	0.25	2.92	3.5	138	0.0	180	0.18	2.99	109	0.06	4.07	127	2.61	326
2023 01 02 10	0.27	3.03	4.67	134	0.0	180	0.21	3.23	112	0.1	2.75	195	2.19	3
2023 01 02 11	0.29	3.15	4.67	129	0.0	180	0.24	3.39	111	0.1	2.73	195	1.15	325
2023 01 02 12	0.31	3.28	4.67	125	0.0	180	0.26	3.54	110	0.09	2.82	196	0.79	22
2023 01 02 13	0.34	3.42	4.67	121	0.0	180	0.25	3.31	115	0.25	7.78	93	1.02	177
2023 01 02 14	0.36	3.58	5.13	116	0.0	180	0.33	3.83	105	0.09	2.85	197	2.25	183
2023 01 02 15	0.39	3.72	5.65	113	0.0	180	0.36	3.99	103	0.12	2.84	160	2.01	186
2023 01 02 16	0.42	3.85	5.65	110	0.0	180	0.39	4.12	101	0.12	2.87	160	1.64	207
2023 01 02 17	0.44	3.97	5.65	109	0.0	180	0.41	4.24	101	0.1	3.34	156	0.73	181
2023 01 02 18	0.46	4.06	5.65	108	0.0	180	0.43	4.33	100	0.13	3.03	158	0.3	282
2023 01 02 19	0.47	4.12	5.65	108	0.0	180	0.44	4.39	101	0.05	5.06	194	1.4	315
2023 01 02 20	0.47	4.16	5.65	109	0.0	180	0.44	4.42	101	0.07	4.98	195	2.23	21
2023 01 02 21	0.47	4.19	5.65	109	0.0	180	0.44	4.45	101	0.08	4.89	195	2.45	11
